"section","item","published","computed","verdict","note"
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","HIV positive vs negative","0.62 (0.55-0.68)","0.62 (0.55-0.68)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","Lymphadenopathy vs none","0.75 (0.73-0.78)","0.75 (0.73-0.78)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","Genital/perianal lesions vs none","0.60 (0.58-0.63)","0.60 (0.58-0.63)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","Palm/sole lesions vs none","0.71 (0.69-0.73)","0.71 (0.69-0.73)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","Male vs female","not significant","1.01 (0.98-1.04)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","Sexual contact: reduced risk (text)","80%","78%","MATCH","1 - 0.22 = 78%; the text rounds to 80% while now printing the RR to 2 dp"
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","HIV positive: reduced risk (text)","40%","38%","MATCH","1 - 0.62 = 38%; same rounding as above"
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","Figure 2 caption, N in total","2256","2256","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","  RR group sizes sum to","2256","2256","MATCH",""
"FIGURE 3A -- Ct TRAJECTORY AMONG INFERRED TRUE POSITIVES","Mean Ct at symptom onset","24.0 (22.0-27.0)","24.3 (21.8-27.2)","MATCH",""
"FIGURE 3A -- Ct TRAJECTORY AMONG INFERRED TRUE POSITIVES","Nadir Ct","21.0 (20.0-22.0)","21.0 (20.4-21.6)","MATCH",""
"FIGURE 3A -- Ct TRAJECTORY AMONG INFERRED TRUE POSITIVES","Day of nadir","9.0","9.5","MATCH",""
"FIGURE 3A -- Ct TRAJECTORY AMONG INFERRED TRUE POSITIVES","Mean Ct at day 30","25.0 (16.0-36.0)","25.8 (15.8-36.1)","MATCH","day 30 is the spline boundary; wide posterior, sensitive to run-to-run MCMC noise"
"FIGURE 3A -- Ct TRAJECTORY AMONG INFERRED TRUE POSITIVES","80% of true cases at day 6, Ct range","17.0-27.0","16.7-27.5","MATCH",""
"FIGURE 3B / RESULTS -- SEROLOGY","Participants followed serologically","118","118","MATCH",""
"FIGURE 3B / RESULTS -- SEROLOGY","Figure 3B caption, participants drawn","100","100","MATCH","panel B plots Ct >0 only; the caption was corrected in this proof"
"FIGURE 3B / RESULTS -- SEROLOGY","With serological evidence of infection","29 (25.0%)","29 (24.6%)","MATCH",""
"FIGURE 3B / RESULTS -- SEROLOGY","Median Ct, seropositive (range)","18.0 (15.0-42.0)","18.1 (15.5-42.3)","MATCH",""
"FIGURE 3B / RESULTS -- SEROLOGY","Median Ct, seronegative (range)","39.0 (22.0-45.0)","38.7 (22.4-44.8)","MATCH",""
"FIGURE 3B / RESULTS -- SEROLOGY","Inferred false positives with serology","35","35","MATCH",""
"FIGURE 3B / RESULTS -- SEROLOGY","  of whom seropositive (Results text: 'only four')","4","4","MATCH",""
"FIGURE 3B / RESULTS -- SEROLOGY","  of whom seronegative (Discussion: 89%)","31 (88.6%)","31 (88.6%)","MATCH",""
"FIGURE 3B / RESULTS -- SEROLOGY","Inferred true positives with serology","30","30","MATCH",""
"FIGURE 3B / RESULTS -- SEROLOGY","  of whom seronegative","10 (33.3%)","10 (33.3%)","MATCH",""
"FIGURE 3B / RESULTS -- SEROLOGY","Abstract vs Results/Discussion on the 35 FPs","abstract 31/35 (88.6%)","data 31/35 (88.6%); Results and Discussion agree with the data","MATCH","corrected in this proof; see the rule sweep below"
"FIGURE 4 -- DIAGNOSTIC Ct CUTOFFS","Participants in the ROC analysis","4004","4004","MATCH",""
"FIGURE 4 -- DIAGNOSTIC Ct CUTOFFS","False positive rate, Ct<40","32.0% (29.0-33.0)","31.6% (29.3-33.5)","MATCH",""
"FIGURE 4 -- DIAGNOSTIC Ct CUTOFFS","False positive rate, Ct<37","18.0% (16.0-20.0)","17.8% (15.7-19.7)","MATCH",""
"FIGURE 4 -- DIAGNOSTIC Ct CUTOFFS","Sensitivity, Ct<37","99.0% (98.0-100.0)","98.9% (97.8-99.7)","MATCH",""
"FIGURE 4 -- DIAGNOSTIC Ct CUTOFFS","False negative rate, Ct<37","1.0% (0.0-2.0)","1.1% (0.3-2.2)","MATCH",""
"FIGURE 4 -- DIAGNOSTIC Ct CUTOFFS","False positive rate, Ct<34","5.0% (3.0-6.0)","4.8% (3.4-6.3)","MATCH",""
"FIGURE 4 -- DIAGNOSTIC Ct CUTOFFS","Sensitivity, Ct<34","97.0% (94.0-99.0)","96.7% (93.9-98.7)","MATCH",""
"FIGURE 4 -- DIAGNOSTIC Ct CUTOFFS","False negative rate, Ct<34","3.0% (1.0-6.0)","3.3% (1.3-6.1)","MATCH",""
"FIGURE 4 -- DIAGNOSTIC Ct CUTOFFS","Cutoff maximising Youden's J","33","33","MATCH",""
"FIGURE 4 -- DIAGNOSTIC Ct CUTOFFS","Cases under the Ct<40 cutoff","2256","2256","MATCH",""
"FIGURE 4 -- DIAGNOSTIC Ct CUTOFFS","  of which environmentally derived","808","808","MATCH",""
"FIGURE 4 -- DIAGNOSTIC Ct CUTOFFS","False positives remaining at Ct<34","123","123","MATCH",""
"FIGURE 4 -- DIAGNOSTIC Ct CUTOFFS","True cases missed at Ct<34","47","47","MATCH",""
"RESULTS -- MASKED CLINICAL / PHOTO REVIEW","Classified positive, Ct <= 34","57.1%","--","NO DATA","clinician ratings are not in this repo (no photo-review data file)"
"RESULTS -- MASKED CLINICAL / PHOTO REVIEW","Fleiss kappa, Ct <= 34","0.49","--","NO DATA","clinician ratings are not in this repo (no photo-review data file)"
"RESULTS -- MASKED CLINICAL / PHOTO REVIEW","Photo-review stratum label","Ct value of 34 or lower","should be 'less than 34'","DIFFERS","proof 2 said '34 or greater'; the strata elsewhere are <34 / 34-39 / >=40"
"RESULTS -- MASKED CLINICAL / PHOTO REVIEW","Classified positive, Ct >= 40","22.9%","--","NO DATA","clinician ratings are not in this repo (no photo-review data file)"
"RESULTS -- MASKED CLINICAL / PHOTO REVIEW","Fleiss kappa, Ct >= 40","0.35","--","NO DATA","clinician ratings are not in this repo (no photo-review data file)"
"RESULTS -- MASKED CLINICAL / PHOTO REVIEW","Classified positive, Ct 34-39","26.7%","--","NO DATA","clinician ratings are not in this repo (no photo-review data file)"
"RESULTS -- MASKED CLINICAL / PHOTO REVIEW","Fleiss kappa, Ct 34-39","-0.01","--","NO DATA","clinician ratings are not in this repo (no photo-review data file)"
"DISCUSSION -- FIGURES REPEATED FROM THE RESULTS","True infections among Ct<40","65.0% (61.0-69.0)","65.0% (61.1-69.1)","MATCH",""
"DISCUSSION -- FIGURES REPEATED FROM THE RESULTS","False positive rate, Ct<37 cutoff","18.0% (16.0-20.0)","17.8% (15.7-19.7)","MATCH",""
"DISCUSSION -- FIGURES REPEATED FROM THE RESULTS","False positive rate, Ct<34 cutoff","5.0% (3.0-6.0)","4.8% (3.4-6.3)","MATCH",""
"DISCUSSION -- FIGURES REPEATED FROM THE RESULTS","Inferred FPs with no antibody response","89%","89%","MATCH",""
"DISCUSSION -- FIGURES REPEATED FROM THE RESULTS","Age bands with the highest P(true infection)","20-39 years","20-29 and 30-39","MATCH","proof 2 said 15-39; 15-19 sits well below both"
"DISCUSSION -- FIGURES REPEATED FROM THE RESULTS","Relaxed-prior upper bound (restated)","41% (39-44)","--","NO DATA","the relaxed-prior refit is not saved in this repo"
